_source_id,Socio,Tipo de empresa,Tipo de socio,Pub./Priv.,Socio Estratégico,Prog. Inversión,Fecha ult. act.,Link a ficha/deck,Inversores,Etapa startup,Año constitución,Inversion recibida,Inversion buscada,Meses valle,Nivel de participación,Regiones interés actual,Regiones interés futuro,Cadena de valor,Resumen actividad,Fecha inicio fondos,Tamaño fondos,Min ticket,Max ticket,Fases enfoque,Regiones enfoque,Startups en portfolio,Interés en tecnologías,Interés en ámbitos,Interés en sectores,Cifra de negocio,Num. de empleados,Exportación,CNAE
94,INDO,Pyme tecnológica,Socio,privado,0,0,,,,,01/09/1971,,,,No definido,Europa,"Sudamérica, África, Oriente Medio",Fabricación de componentes,Indo fabrica y comercializa lentes oftálmicas desde 1937. Además es distribuidor de equipos de optometría y oftalmología,,,,,,,,,,,"50.000.000,00 €",270,5 %,2670
95,INMA-CSIC,Entidades Públicas e Instituciones,Socio,publico,0,0,,,,,,,,,Nuevo,,,I+D,INESTIGACIÓN Y DESARROLLO,,,,,,,,,,,"500,00 €",300,0 %,N/A
96,Inmersia,Micropyme tecnológica,Socio,privado,,1,,,,Serie A,22/07/2020,3500000,30000000,,Nuevo,,,Fabricación de sistemas,Actividades de programación informática y fabricación de productos electrónicos de consumo,,,,,,,,,,,"0,00 €",2,0 %,6201
97,Instituto de Óptica (CSIC),Centro o Grupo de I+D+i,Socio,publico,,0,,,,,01/01/1946,,,,No definido,,,I+D,Centro I+D y transferencia tecnológica,,,,,,,,,,,"1.000.000,00 €",70,0 %,7219
98,Invivo Capital,Inversores y gestoras de VC o PE,Potencial,,0,1,,,,Serie A,,,,,No definido,,,No definido,"fondo de capital riesgo especializado en proyectos early-stage del sector salud: biotecnología, dispositivos médicos y salud digital. ",,70000000,,,Serie A,,,,,,No definido,N/A,N/A,N/A
99,IOVI Intelligent Vision,Micropyme tecnológica,Socio,privado,,1,,,,,27/07/2018,820000,1300000,,Activo,,,Fabricación de sistemas,Visión Artificial Inteligente,,,,,,,,,,,"350.000,00 €",7,0 %,2670
100,iPronics,Pyme tecnológica,Socio,privado,0,1,,,,,10/12/2019,,,,Nuevo,,,Fabricación de sistemas,Pioneros en el campo de la fotónica definida por software; primer conmutador óptico multiusos.,,,,,,,,,,,"554.538,00 €",39,56.32 %,6201
101,IRTA,Centro o Grupo de I+D+i,Socio,,0,0,,,,,28/11/1985,,,,Nuevo,,,I+D,"L’IRTA es una empresa pública de la Generalitat de Catalunya, regulada per la Llei 4/2009 de 15 d’abril del Parlament (BOE de 23 d’abril de 2009) que te com a finalitats contribuir a la modernització, a la millora i l’impuls de la competitivitat; al desenvolupament sostenible dels sectors agrari, alimentari, agroforestal, aqüícola i pesquer, i també dels directament o indirectament relacionats amb el proveïment d’aliments sans i de qualitat als consumidors finals; a la seguretat alimentària i a la transformació dels aliments, i, en general, a la millora del benestar i la salut de la població.",,,,,,,,,,,"18.590.241,00 €",920,0 %,N/A
102,Kadans Science Partner,Pyme tecnológica,Socio,privado,0,0,,,,,30/01/2023,,,,Nuevo,,,I+D,Construccion y gestion de espacios para laboratorios e infraestructuras de I+D,,,,,,,,,,,No definido,N/A,N/A,6420
103,KD,Pyme tecnológica,Socio,privado,0,1,,https://secpho.sharepoint.com/:b:/s/secphoteam2/IQB2EEb5kj2qRrQJgWd4Tv27AS9xSy7av7537-_GQn6JZZM?e=nBVGD7,,Serie B,12/03/2010,,20000000,,Believer,"Europa, NE Asiático, Norteamérica","Norteamérica, Europa, NE Asiático",I+D,"KDPOF desarrolla, fabrica y comercializa sistemas microelectrónicos de comunicaciones ópticas para entornos adversos",,,,,,,,,,,"4.000.000,00 €",50,100 %,2611
104,Laboratorios HARTMANN,End User o Coporate,OIC,privado,0,0,,,,,14/05/1961,,,,No definido,,,Usuario final,,,,,,,,,,,,No definido,N/A,N/A,N/A
105,LAINTEC,Centro o Grupo de I+D+i,Socio,privado,0,0,,,,,14/03/1989,,,,Nuevo,,,I+D,Iluminación de Emergencia,,,,,,,,,,,"170.000,00 €",24,0 %,936.000
106,Laser Line Scanning,Startup o Spinoff,Socio,privado,0,1,,,,,21/09/2022,,,,No definido,,,Ingeniería e integración,"Tratamientos láser de superficies sector cerámico, vidrio y metales",,,,,,,,,,,No definido,1,50 %,7112
107,Lecta,End User o Coporate,OIC,privado,,0,,,,,14/03/2000,,,,No definido,,,Usuario final,,,,,,,,,,,,"1.486.000.000,00 €",3205,N/A,N/A
108,Leitat,Centro o Grupo de I+D+i,Socio,privado,,0,,,,,01/01/1906,,,,Activo,"África, Oriente Medio, Sudamérica, Europa","Norteamérica, SE Asiático, NE Asiático",I+D,Centro I+D,,,,,,,,,,,"17.000.000,00 €",240,0 %,N/A
109,Lenz Instruments,Micropyme tecnológica,Socio,privado,,0,,,,,14/12/2011,,,,Nuevo,,,Fabricación de sistemas,Sistemas de inspección avanzada,,,,,,,,,,,"410.000,00 €",8,0 %,2893
110,LIDAX,Pyme tecnológica,Socio,privado,0,0,,,,,11/01/2000,,,,No definido,,,Ingeniería e integración,"Lidax es una empresa tecnológica especializada en ingeniería espacial. Sus actividades abarcan desde el diseño conceptual hasta la realización, pasando por la integración y las pruebas, tanto para satélites como para instrumentación astronómica (OGSE y MGSE).",,,,,,,,,,,"2.162.818,00 €",12,N/A,3030
111,Lubrizol,Gran Empresa tecnológica,OIC,privado,0,0,,,,,,,,,Nuevo,,,Usuario final,,,,,,,,,,,,"51.531.930,00 €",124,89 %,2042
112,LVD Biotech,Gran Empresa tecnológica,Socio,privado,0,0,,,,,07/09/2010,,,,No definido,,,"Fabricación de componentes, Fabricación de módulos, Fabricación de sistemas, I+D, Ingeniería e integración, Transferencia de tecnología, Usuario final","Desarrollo, fabricación y comercialización de dispositivos médicos y terapias avanzadas para el tratamiento de enfermedades cardiovasculares.",,,,,,,,,,,"70.000.000,00 €",450,86.50 %,3250
113,LÚCID,Pyme tecnológica,Baja Solicitada,privado,0,0,,,,,11/07/2013,,,,Nuevo,,,Ingeniería e integración,"Lúcid es una agencia de diseño estratégico e innovación dedicada al desarrollo de productos, servicios y experiencias de triple impacto. Su enfoque se basa en la combinación de diferentes capacidades: la investigación de usuario, el design thinking, la dinamización de la creatividad, el diseño industrial, la ingeniería y el desarrollo de producto y  el diseño digital para generar soluciones people and planet centric. ",,,,,,,,,,,"1.751.377,00 €",19,N/A,7112
114,Macsa ID,Pyme tecnológica,Socio,privado,,0,,,,,03/02/1983,,,,Nuevo,"Europa, Sudamérica, NE Asiático, SE Asiático","Norteamérica, África, Oriente Medio","Distribución, Fabricación de componentes, I+D, Ingeniería e integración",Fabricación de maquinaria,,,,,,,,,,,"37.397.624,00 €",123,40 %,2829
115,Mahou san Miguel,Inversores y gestoras de VC o PE,Potencial,,0,0,,,,,,,,,No definido,,,No definido,,,,,,,,,,,,No definido,N/A,N/A,N/A
116,MAIMAN ELECTRONICS,Startup o Spinoff,Socio,privado,,0,,,,,09/08/2023,,0,,No definido,,,Fabricación de módulos,"Laser Diode Drivers, Laser Diode Modules, PIC controllers and TEC controllers ",,,,,,,,,,,No definido,N/A,N/A,N/A
117,Mapsi Photonics,Startup o Spinoff,Socio,privado,0,1,,https://secpho.sharepoint.com/:b:/s/secphoteam2/IQAhDzNoSNUkT40VNpDvvvzJATwOalHUHExQrIfbQIilnh8?e=X36gpo,Bullnet Capital,Serie A,18/06/2021,2000000,4000000,,Nuevo,"Europa, NE Asiático",NE Asiático,Fabricación de componentes,Fabricación de filtros infrarrojos,,,,,,,,,,,"10.020,00 €",6,30 %,2670
118,MASENSE TECH,Startup o Spinoff,Socio,privado,0,0,,,,Semilla,,25000,1000000,,Nuevo,,,Ingeniería e integración,"MASENSE TECH desarrolla sensores inteligentes y soluciones de monitorización en tiempo real para infraestructuras eléctricas, especialmente centros de transformación, permitiendo capturar, procesar y analizar datos críticos. Su tecnología integra edge computing y analítica avanzada para habilitar mantenimiento predictivo, mejorar la eficiencia operativa y reducir riesgos en la red eléctrica.",,,,,,,,,,,"250.000,00 €",4,0 %,N/A
119,Master in Photonics - Europhotonics,Centro o Grupo de I+D+i,Socio,publico,,0,,,,,01/03/1971,,,,Poco activo,,,I+D,Master. Formación.,,,,,,,,,,,"265.000.000,00 €",4000,0 %,8543
120,MiCos Iberia,Micropyme tecnológica,Socio,privado,0,0,,,,,10/10/2006,,,,Nuevo,Europa,Europa,Distribución,Venta de productos y sistemas en el campo de posicionamiento de precisión y tecnología piezoeléctrica ,,,,,,,,,,,"1.924.164,00 €",3,0 %,6593
121,Micrauto,Micropyme tecnológica,Socio,privado,0,0,,,,,22/03/1995,,,,Nuevo,,,Fabricación de sistemas,Fabricación equipos hidraulicos y electrónicos,,,,,,,,,,,"1.600.000,00 €",9,37 %,2899
122,Monocrom,Pyme tecnológica,Socio,privado,0,0,,,,,06/07/1993,,,,Believer,,,Fabricación de sistemas,Fabricante,,,,,,,,,,,"8.500.000,00 €",53,64 %,2611
123,Mundi Ventures,Inversores y gestoras de VC o PE,Potencial,,0,1,,,,,,,,,No definido,,,No definido,Gestora de fondos de VC especializados en cleantech y deep tech,05/02/2026,750000000,15000000,40000000,"Serie B, Expansión","Norteamérica, Sudamérica, América Central y Caribe, NE Asiático, SE Asiático, Asia Central y Meridional, Australia y Oceanía, Europa",,,Acción climática y medio ambiente; Gestión de la innovación,Medioambiente,No definido,N/A,N/A,N/A
124,Nabla Vision,Startup o Spinoff,Socio,publico,0,1,,,,Semilla,19/11/2019,0,1000000,,Nuevo,"África, Oriente Medio, Norteamérica","NE Asiático, SE Asiático, Sudamérica",Distribución,Soluciones de percepción 3D. Fusión tecnologías de visión y LiDAR.,,,,,,,,,,,No definido,2,N/A,2651
125,Nanoker,Pyme tecnológica,Socio,privado,0,0,,,,,26/03/2009,,,,Nuevo,"Norteamérica, Europa",NE Asiático,Fabricación de componentes,Desarrollo y fabricación de materiales para tecnologías Deep Tech,,,,,,,,,,,"2.476.241,00 €",26,74 %,N/A
126,Nanophotonics Technology Center,Centro o Grupo de I+D+i,Socio,privado,,0,,,,,11/03/1971,,,,Nuevo,,"NE Asiático, SE Asiático","I+D, Transferencia de tecnología",,,,,,,,,,,,"2.000.000,00 €",50,50 %,N/A
127,Navantia,End User o Coporate,OIC,publico,,0,,,,,03/03/2005,,,,No definido,,,Usuario final,,,,,,,,,,,,No definido,N/A,N/A,N/A
128,Nestlé,End User o Coporate,OIC,privado,0,0,,,,,01/01/1866,,,,No definido,,,Usuario final,,,,,,,,,,,,"1.930.000.000,00 €",335000,N/A,N/A
129,New Infrared Technologies,Micropyme tecnológica,Socio,privado,,0,,,,,21/09/2005,,,,Poco activo,"Europa, NE Asiático, SE Asiático, Norteamérica, Australia y Oceanía","África, Oriente Medio","Fabricación de módulos, Fabricación de sistemas",Pyme: microempresa. Fabricante.,,,,,,,,,,,"692.334,00 €",6,85 %,3299
130,NIMBLE Diagnostics,Startup o Spinoff,Socio,privado,0,1,09/04/2026,https://secpho.sharepoint.com/:b:/s/secphoteam2/IQCEVeXwiLRfS7fogjz2UrvJAZJl1Z4t89HsZyko19nPTTo?e=t9abOL,Namarel Ventures; Grow Venture Partners; Intempo Ventures; Next Gen Ventures II; BA syndicate,Semilla,15/03/2022,1030000,12000000,,Nuevo,,,Fabricación de sistemas,Desarrollo de equipo médico de diagnóstico basado en microondas,,,,,,,,,,,"0,00 €",10,0 %,2660
131,Northern Waves AB,Startup o Spinoff,Socio,privado,0,0,,,,Semilla,01/01/1970,500000,0,,Nuevo,,,Fabricación de sistemas,Fabricación avanzada para telecomunicaciones,,,,,,,,,,,"200.000,00 €",6,80 %,7112
132,Nulab,Startup o Spinoff,Socio,privado,,1,,,,Serie B,30/12/2019,300000,300000,,Nuevo,,,"I+D, Ingeniería e integración",,,,,,,,,,,,"0,00 €",2,0 %,7490
133,Ocean Ecostructures,Startup o Spinoff,Socio,privado,0,0,,,"Seven Seas Capital, con la participación de Ship2B Ventures e Inclimo Tech Fund",,30/12/2019,3000000,0,,Activo,,,Ingeniería e integración,,,,,,,,,,,,No definido,N/A,N/A,N/A
134,Ommatidia Lidar,Startup o Spinoff,Socio,privado,0,1,,,,Serie A,27/07/2018,4000000,6000000,,No definido,Asia Central y Meridional,,Fabricación de sistemas,Sistemas de sensado remoto e imagen con medida de rango,,,,,,,,,,,"637.489,96 €",20,92 %,2651
135,OPTOSIGMA,Gran Empresa tecnológica,Socio,privado,0,0,,,,,01/04/2014,,,,Nuevo,"Europa, Oriente Medio","Europa, Oriente Medio",Fabricación de componentes,Components and optical subsystem manufacturing,,,,,,,,,,,"5.000.000,00 €",16,100 %,3313
136,Pal Robotics,Pyme tecnológica,Socio,privado,0,0,,,,,,,,,Nuevo,,,Fabricación de sistemas,"PAL Robotics diseña y desarrolla robots humanoides y móviles avanzados para mejorar la calidad de vida y la eficiencia en sectores como la investigación, la industria, la salud y la logística .",,,,,,,,,,,"9.000.000,00 €",97,83 %,7490
137,Palex Scientific,Gran Empresa tecnológica,Socio,privado,0,0,,,,,01/08/2014,,,,Nuevo,Europa,Europa,Distribución,Distribución instrumentación cientifica,,,,,,,,,,,"48.000,00 €",134,0 %,N/A
138,Photonics Research Labs,Centro o Grupo de I+D+i,Socio,publico,0,0,,,,,08/11/2018,,,,Nuevo,,,"I+D, Transferencia de tecnología",Investigación académica,,,,,,,,,,,"140.000,00 €",35,0 %,8543
139,PONTI & PARTNERS,Pyme tecnológica,Socio,privado,0,0,,,,,30/12/2010,,,,Nuevo,,,"Distribución, Fabricación de componentes, Fabricación de módulos, Fabricación de sistemas, I+D, Ingeniería e integración, Transferencia de tecnología, Usuario final",Servicios estrategicos de propiedad Industrial e Intelectual,,,,,,,,,,,"6.000.000,00 €",50,50 %,6831
140,ProCareLight,Micropyme tecnológica,Socio,privado,0,0,,,,,15/01/2013,,,,Activo,,,Ingeniería e integración,Pyme: microempresa. Ingeniería,,,,,,,,,,,"98.928,00 €",3,0 %,N/A
141,Promsa,End User o Coporate,OIC,privado,0,0,,,,,12/05/2006,,,,No definido,,,Usuario final,,,,,,,,,,,,"62.448.000,00 €",197,N/A,N/A
142,QPO,Startup o Spinoff,Socio,privado,0,1,,https://secpho.sharepoint.com/:b:/s/secphoteam2/IQCVcetrf1KwQIBO2PxB4RRiAYSdhp7mlsMSEtQQJWbWtgc?e=FP72B7,,,02/04/2019,440000,10000000,,Poco activo,Europa,"Norteamérica, NE Asiático, SE Asiático",Ingeniería e integración,"Quality Photonic Optics (QPO) revoluciona la industria con un proceso de encapsulado de seguridad y óptico de circuitos electrónicos, microelectrónica y fotónica patentado para las telecomunicaciones, defensa y automoción.",,,,,,,,,,,"600.000,00 €",8,1 %,N/A
143,Qurv Technologies,Startup o Spinoff,Socio,privado,0,1,,,,Semilla,10/07/2020,0,6000000,,Nuevo,,,Fabricación de módulos,"Design, development, fabrication and sales of products, components and devices, methods and consultancy services, research and development related to wide spectrum sensors and imaging systems.",,,,,,,,,,,"475.000,00 €",9,100 %,7490
144,Quside,Micropyme tecnológica,Socio,privado,0,1,24/04/2026,https://secpho.sharepoint.com/:b:/s/secphoteam2/IQBT-lPBFn1_T6Ah_rMtuDplAbqx0aBslpaCALGBus-Ekjg?e=I8THv0,,Serie B,04/09/2017,15000000,10000000,,Nuevo,,,Fabricación de módulos,Desarrollo de componentes cuánticos y fotonicos para ciber-seguridad y super-computación,,,,,,,,,,,"376.000,00 €",47,75 %,2611
145,Radiantis,Micropyme tecnológica,Socio,privado,0,0,,,,,06/07/2005,,,,Believer,"Norteamérica, Europa, NE Asiático, Asia Central y Meridional","NE Asiático, Norteamérica, Europa",Fabricación de sistemas,Fabricante,,,,,,,,,,,"1.012.920,00 €",9,90 %,7219
146,rbz,Pyme tecnológica,Socio,privado,0,0,,,,,26/01/2004,,,,Nuevo,"Europa, Norteamérica, Sudamérica, América Central y Caribe","Norteamérica, Sudamérica","Fabricación de módulos, I+D, Ingeniería e integración, Transferencia de tecnología",El objetivo de RBZ es diseñar y fabricar equipos electrónicos avanzados.,,,,,,,,,,,"4.344.106,00 €",38,20 %,7112
147,Recursos Laser,Micropyme tecnológica,Socio,privado,,0,,,,,28/04/2016,,,,Nuevo,,,Distribución,,,,,,,,,,,,"50.000,00 €",1,10 %,4690
148,Repsol,End User o Coporate,OIC,privado,0,0,,,,,12/11/1986,,,,No definido,,,Usuario final,,,,,,,,,,,,"56.298.000.000,00 €",25000,N/A,N/A
149,Robotnik,Pyme tecnológica,Socio,privado,0,1,27/04/2026,https://secpho.sharepoint.com/:b:/s/secphoteam2/IQA8LFEKSeJSRIXwF-8duQ8xAamVhvJzl7QXRekc1MxsFPY?e=cd2bAR,,Serie A,27/05/2002,,15000000,,No definido,"NE Asiático, SE Asiático, Europa",Norteamérica,I+D,Diseño y fabricación de robots y manipuladores móviles,,,,,,,,,,,No definido,78,15 %,7112
150,Roca,End User o Coporate,OIC,privado,0,0,,,,,01/01/1917,,,,No definido,,,Usuario final,,,,,,,,,,,,"490.759.000,00 €",990,N/A,N/A
151,Rosepetal,Startup o Spinoff,Socio,privado,0,1,03/03/2026,https://gamma.app/docs/Pitch-Deck-2025-Your-Quality-Control-Guru-opyi5vxlofg964d?mode=doc,,Semilla,23/09/2021,390000,800000,,Nuevo,,,Fabricación de sistemas,Desarrollo de software con IA,,,,,,,,,,,"200.000,00 €",8,20 %,6209
152,Rumbo Ventures,Inversores y gestoras de VC o PE,Potencial,,0,1,,,,,,,,,No definido,,,No definido,,,,250000,1000000,"Pre-semilla, Semilla, Serie A",,,,Acción climática y medio ambiente; Energía limpia y eficiente,Agroalimentación; Medioambiente,No definido,N/A,N/A,N/A
153,SAIKARIS,Startup o Spinoff,Socio,privado,0,0,,,,Pre-semilla,,3000,0,,Nuevo,,,Ingeniería e integración,Consultoria operativa y estratégica Lean Six Sigma,,,,,,,,,,,"0,00 €",1,0 %,N/A
154,SEAT,End User o Coporate,OIC,privado,,0,,,,,09/05/1950,,,,No definido,,,Usuario final,,,,,,,,,,,,"9.991.000.000,00 €",14627,N/A,N/A
155,SENER,End User o Coporate,OIC,privado,0,0,,,,,01/01/1956,,,,No definido,,,Usuario final,,,,,,,,,,,,"407.556.000,00 €",6000,N/A,N/A
156,Sens Solutions,Startup o Spinoff,Socio,privado,0,1,27/04/2026,https://secpho.sharepoint.com/:b:/s/secphoteam2/IQD-kd1OTsIoQ6hNSenVFwjMAT6f69V0tXsKvnDLc-zIM9Q?e=u5Mnbp,SETT (pone el 49%),,01/03/2016,0,1500000,,Nuevo,,,I+D,,,,,,,,,,,,No definido,N/A,N/A,N/A
157,Sensofar Medical,Micropyme tecnológica,Socio,privado,,0,,,,,03/05/2012,,,,Nuevo,,,"Fabricación de sistemas, I+D","Diseño, producción y comercialización de equipos de inspección óptica para dispositivos médicos implantables",,,,,,,,,,,"750.000,00 €",8,95 %,2670
158,Sensofar Metrology,Pyme tecnológica,Socio,privado,,0,,,,,16/03/2001,,,,Believer,,,Fabricación de sistemas,Pyme: pequeña empresa. Fabricante.,,,,,,,,,,,"7.315.692,00 €",30,95 %,2611
159,SETT,Inversores y gestoras de VC o PE,Partner,,0,1,,,,,,,,,No definido,,,No definido,,,,,,,,,,,,No definido,N/A,N/A,N/A
160,shinephi,Startup o Spinoff,Socio,privado,0,0,,,,Pre-semilla,29/07/2025,800000,0,,Nuevo,,,Fabricación de componentes,shinephi develops add-on imagers that transform standard optical systems into high precision metrology tools for semiconductor manufacturing and nanofabrication (shinephi desarrolla módulos de imagen acoplables que transforman sistemas ópticos estándar en herramientas de metrología de alta precisión para la fabricación de semiconductores y la nanofabricación),,,,,,,,,,,"0,00 €",2,0 %,N/A
161,Ship2B Ventures,Inversores y gestoras de VC o PE,Potencial,,0,0,,,,,,,,,No definido,,,No definido,,,,,,,,,,,,No definido,N/A,N/A,N/A
162,singular things,Startup o Spinoff,Socio,privado,0,1,,,,Serie A,29/06/2018,300000,2500000,,Nuevo,,,Ingeniería e integración,"Micro-electrónica, IoT, Edge-Computing, AIoT",,,,,,,,,,,No definido,7,20 %,2640
163,SISTAM,Startup o Spinoff,Socio,privado,0,1,,https://secpho.sharepoint.com/:b:/s/secphoteam2/IQAYlFkRmBorS5ZL6HbsQnUUAbCpXGLc6mOyAWkfzshuKmc?e=Kl1fzx,,Semilla,25/11/2021,77000,1695000,,Nuevo,,,I+D,"Sistema de monitorización avanzado, compacto y portátil, para infraestructuras civiles",,,,,,,,,,,"40.000,00 €",1,N/A,7112
164,Solar MEMS Technologies,Pyme tecnológica,Socio,privado,0,0,,,,,,,,,Nuevo,"Norteamérica, NE Asiático, Europa","Sudamérica, Oriente Medio",Fabricación de sistemas,"Desarrollo de sistemas ópticos avanzados para navegación, orientación y posicionamiento en los sectores Espacial, Defensa y otros ámbitos de alta tecnología",,,,,,,,,,,"4.560.246,00 €",51,99 %,N/A
165,Standard Profil,End User o Coporate,OIC,privado,,0,,,,,05/10/1931,,,,Nuevo,,,Usuario final,Gran Empresa. Usuario final.,,,,,,,,,,,"139.532.000,00 €",500,45 %,2932
166,Star Robotics,Micropyme tecnológica,Socio,privado,0,1,,,,Serie A,14/04/2016,2300000,2500000,,Nuevo,"Norteamérica, Sudamérica, Europa","Oriente Medio, África",Fabricación de sistemas,"Diseño, fabricación e integración de robots autónomos de vigilancia e inspección",,,,,,,,,,,"737.752,00 €",21,60 %,N/A
167,Stimulo,Pyme tecnológica,Socio,privado,0,0,,,,,28/07/2003,,,,Nuevo,"NE Asiático, Asia Central y Meridional, Oriente Medio, Norteamérica","Norteamérica, SE Asiático, Australia y Oceanía, Sudamérica",I+D,Agencia de diseño e innovación de productos,,,,,,,,,,,"500,00 €",12,20 %,7112
168,Subsea Mechatronics,Startup o Spinoff,Socio,privado,0,1,,,,Semilla,16/06/2015,0,2000000,,Nuevo,"Europa, África, Asia Central y Meridional",,Fabricación de sistemas,"Desarrollo de sistemas de sensorización remota: IOT y ROVs. Robótica, hardware y software.",,,,,,,,,,,"200.000,00 €",5,50 %,7112
169,Suma Capital,Inversores y gestoras de VC o PE,Potencial,,0,1,,,,Semilla,,,,,No definido,,,No definido,Entidad de Capital Riesgo enfocada en medioambiente,,210000000,5000000,15000000,"Semilla, Serie B, Expansión",,,,Acción climática y medio ambiente,Medioambiente,No definido,N/A,N/A,N/A
170,Swanlaab Venture Factory,Inversores y gestoras de VC o PE,Potencial,,0,0,,,,,,,,,No definido,,,No definido,Gestora de fondos de VC,01/06/2023,45000000,500000,3000000,"Semilla, Serie A",Europa,,,Seguridad alimentaria,Agroalimentación,No definido,N/A,N/A,N/A
171,t2c,Pyme tecnológica,Socio,privado,,0,,,,,05/02/2004,,,,No definido,,,Ingeniería e integración,"Analítica Avanzada, Business Intelligence, Desarrollo, Gestión de Sistemas IT, Integración y Administración SAP",,,,,,,,,,,"6.000.000,00 €",N/A,N/A,N/A
172,Tecnalia,Centro o Grupo de I+D+i,Socio,privado,,0,,,,,04/06/1998,,,,Believer,Europa,,Transferencia de tecnología,Centro Transferencia tecnológica,,,,,,,,,,,"100.000.000,00 €",1400,10 %,7219
173,TEKHNĒ,Startup o Spinoff,Socio,privado,0,1,27/02/2026,https://secpho.sharepoint.com/:b:/s/secphoteam2/IQBJVMpDJ5OeQohEvAJib6WmAe1We2nRAhr7lZHnMjuqZ7Q?e=sgDBeD,,Semilla,20/09/2019,0,800000,,No definido,,,Fabricación de módulos,Diseño de productos hardware electrónicos innovadores,,,,,,,,,,,No definido,N/A,N/A,N/A
174,Tekniker,Centro o Grupo de I+D+i,Socio,privado,0,0,,,,,01/06/1995,,,,Believer,,,Transferencia de tecnología,Centro Transferencia tecnológica,,,,,,,,,,,"21.000.000,00 €",300,1 %,7211
175,Telefónica,End User o Coporate,OIC,privado,,0,,,,,19/04/1924,,,,No definido,,,Usuario final,,,,,,,,,,,,"16.187.000.000,00 €",122718,N/A,N/A
176,Thales Alenia Space España,Gran Empresa tecnológica,Socio,,0,0,,,,,18/11/1988,,,,Nuevo,"Norteamérica, Sudamérica, NE Asiático, Europa, Oriente Medio","SE Asiático, Australia y Oceanía, Norteamérica, Sudamérica",Fabricación de sistemas,"Desarrollo de misiones, sistemas, subsistemas y equipos en el sector espacial.",,,,,,,,,,,"86.000.000,00 €",436,80 %,N/A
177,TMB,End User o Coporate,OIC,publico,,0,,,,,06/10/2004,,,,No definido,,,Usuario final,,,,,,,,,,,,"50.000.000,00 €",7834,N/A,N/A
178,TRADEBE,End User o Coporate,OIC,,0,0,,,,,03/03/1986,,,,No definido,,,Usuario final,,,,,,,,,,,,No definido,N/A,N/A,N/A
179,UAB,Centro o Grupo de I+D+i,Socio,publico,0,0,,,,,06/06/1968,,,,Activo,,,"I+D, Transferencia de tecnología",,,,,,,,,,,,"104.234.872,00 €",5394,N/A,N/A
180,UDIT,Centro o Grupo de I+D+i,Socio,privado,0,0,,,,,17/05/2004,,,,Nuevo,,,I+D,Universidad Privada Oficial de Diseño,,,,,,,,,,,"26.000.000,00 €",155,0 %,8543
181,UPV - EHU,Centro o Grupo de I+D+i,Socio,publico,,0,,,,,01/01/1973,,,,Nuevo,,,I+D,Centro I+D y transferencia tecnológica,,,,,,,,,,,"200.000,00 €",11,0 %,7219
182,Velcro,End User o Coporate,OIC,privado,0,0,,,,,21/02/1959,,,,No definido,,,Usuario final,FABRICACIÓN DE PAPELES PINTADOS,,,,,,,,,,,"58.636.000,00 €",312,N/A,N/A
183,Vicomtech,Centro o Grupo de I+D+i,Socio,privado,0,0,,,,,21/03/2001,,,,Nuevo,,,I+D,Investigación,,,,,,,,,,,"19.296.700,00 €",284,4.6 %,7219
184,VIGO Ventures,Inversores y gestoras de VC o PE,Potencial,privado,,0,,,,,,,,,No definido,,,Inversores,,,,,,,,,,,,No definido,N/A,N/A,N/A
185,Visiona,Micropyme tecnológica,Socio,privado,0,0,,,,,20/04/2011,,,,Nuevo,"Europa, Asia Central y Meridional, África","Sudamérica, América Central y Caribe, Norteamérica","Fabricación de sistemas, I+D, Ingeniería e integración","Pyme: pequeña empresa. I+D, fabricante sistemas, integrador/ingeniería",,,,,,,,,,,"245.970,00 €",10,90 %,7112
186,VLC Photonics,End User o Coporate,Socio,privado,0,0,,,,,27/07/2011,,,,Nuevo,"Europa, SE Asiático, NE Asiático, Norteamérica",,Ingeniería e integración,Ingeniería para el desarrollo de circuitos integrados fotónicos,,,,,,,,,,,"1.508.000,00 €",27,85 %,7219
187,WA4STEAM,Inversores y gestoras de VC o PE,Potencial,privado,0,1,,,,Semilla,,,,,No definido,,,No definido,Ecosistemas de mujeres business angels inversoras en startups lideradas por mujeres,,,,250000,Pre-semilla,,1,,,,No definido,N/A,N/A,N/A
188,WOOPTIX,Pyme tecnológica,Socio,privado,0,0,,,,,04/09/2014,,,,Nuevo,,,Fabricación de componentes,Equipamiento de semiconductores,,,,,,,,,,,"800.000,00 €",37,100 %,2670
189,YSIUM MEDICAL,Startup o Spinoff,Socio,privado,0,1,20/04/2026,https://secpho.sharepoint.com/:b:/s/secphoteam2/IQB3bn0l1oIORKOcu1FNTz4SAU50JvUQhHtSxWrckM0sUW8?e=AhY3Ju,,Semilla,03/03/2022,850000,1500000,,Activo,,"Europa, América Central y Caribe",I+D,SECTOR SALUD - SIMULADORES MÉDICOS,,,,,,,,,,,"18.870,00 €",9,5 %,N/A
190,Zabala Innovation,Gran Empresa tecnológica,Socio,privado,0,0,,,,,12/11/1992,,,,Nuevo,,,"I+D, Transferencia de tecnología","Gestion integral de la innovación, de ayudas, subvenciones y proyectos de I+D.",,,,,,,,,,,"12.479.155,00 €",184,25 %,7490
